,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
Country/Territory,Code,Estimate ,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Namibia,NAM,0.36,0.31,4,64.67,49.46,76.09,0.47,0.33,4,65.22,49.46,82.07,0.32,0.31,4,64.13,42.39,77.72,0.58,0.22,6,68.65,60.54,78.92,0.22,0.19,6,61.62,52.97,65.95,0.23,0.2,7,61.69,51.24,67.66,0.14,0.17,7,56.86,50.98,62.25,0.17,0.2,7,55.88,50,65.2,0.05,0.21,7,55.34,44.17,63.11,0.38,0.22,6,62.62,53.4,73.3,0.24,0.19,8,59.33,51.67,68.42,0.21,0.19,8,57.42,50.72,66.99,0.09,0.19,8,55.92,45.5,63.98,0.16,0.23,7,56.4,45.97,68.25,0.16,0.22,7,56.87,45.02,67.3,0.08,0.23,7,54.33,41.83,66.83,0.06,0.21,8,53.85,44.71,66.35,0,0.22,8,54.33,39.9,66.35,-0.1,0.21,8,49.52,34.13,63.46,0.01,0.21,8,54.33,37.98,64.9,0.02,0.21,8,54.81,39.42,64.9,0.03,0.23,7,52.88,38.94,64.9,0,0.22,7,51.44,39.9,64.42
Niger,NER,-0.98,0.35,3,16.85,4.89,33.7,-0.74,0.38,3,22.83,8.7,48.37,-0.77,0.36,3,21.2,9.24,42.39,-0.77,0.26,4,22.16,12.43,40.54,-0.73,0.21,4,23.78,15.14,41.62,-0.68,0.19,6,24.88,16.92,41.29,-0.41,0.16,7,40.2,25,50.49,-0.55,0.17,8,30.39,21.57,45.59,-0.56,0.17,8,30.58,20.87,45.63,-0.46,0.16,8,36.41,23.3,49.51,-0.53,0.16,9,33.01,23.44,44.98,-0.56,0.15,9,32.06,22.49,41.15,-0.57,0.16,9,31.75,22.27,41.23,-0.61,0.18,9,29.86,21.33,41.23,-0.58,0.18,9,30.81,21.8,43.13,-0.74,0.18,9,25.96,14.9,34.62,-0.76,0.17,9,25.96,13.94,35.1,-0.71,0.17,9,25.96,12.98,36.06,-0.71,0.17,9,26.44,14.9,34.62,-0.67,0.17,9,26.92,14.9,36.54,-0.71,0.17,9,25.48,13.46,36.54,-0.78,0.18,8,22.6,11.54,33.65,-0.75,0.16,9,25,13.46,35.58
Nigeria,NGA,-0.97,0.31,4,17.39,5.98,30.43,-0.92,0.33,4,17.39,7.61,34.78,-0.88,0.26,5,17.93,10.33,31.52,-1.18,0.22,6,12.97,4.86,21.08,-1.23,0.19,6,10.27,3.24,18.92,-1.29,0.17,8,8.46,4.98,16.92,-0.79,0.15,9,23.04,16.18,30.88,-0.95,0.16,10,18.14,9.8,24.02,-0.89,0.16,10,19.42,11.65,25.73,-0.82,0.16,10,21.36,16.5,30.58,-0.76,0.15,10,24.88,15.31,33.01,-0.74,0.15,10,25.84,18.18,33.01,-0.7,0.15,11,27.01,19.91,34.6,-0.72,0.17,11,25.59,17.06,35.55,-0.68,0.17,11,26.54,17.54,37.44,-0.84,0.17,11,23.08,11.54,31.73,-0.87,0.16,11,21.15,12.02,30.29,-0.93,0.16,11,17.79,9.62,26.92,-0.9,0.16,11,16.83,10.58,28.37,-0.86,0.18,10,17.31,10.1,29.81,-0.93,0.18,10,16.35,9.13,28.37,-1.01,0.2,9,13.94,8.65,26.92,-0.93,0.19,9,15.87,9.13,30.29
Nicaragua,NIC,-0.44,0.29,5,30.98,17.93,55.98,-0.24,0.33,4,41.85,22.28,61.96,-0.34,0.26,5,35.33,21.2,57.61,-0.49,0.22,6,36.76,21.08,50.27,-0.47,0.19,6,37.3,21.08,50.27,-0.35,0.2,7,43.28,25.37,52.74,-0.45,0.16,8,38.24,24.51,50.49,-0.43,0.19,8,37.75,22.55,50.98,-0.45,0.19,8,35.44,22.33,50,-0.42,0.18,8,38.35,24.27,51.46,-0.44,0.17,9,35.89,25.36,48.8,-0.3,0.17,9,42.11,31.1,52.15,-0.35,0.17,9,39.34,28.91,51.66,-0.31,0.18,10,41.71,29.86,52.61,-0.31,0.18,10,42.65,29.86,53.08,-0.41,0.19,10,37.02,26.44,49.52,-0.4,0.18,10,39.42,27.88,49.04,-0.52,0.19,9,31.73,21.15,45.19,-0.68,0.18,10,27.4,14.9,37.02,-0.71,0.18,10,25.48,12.5,36.06,-0.7,0.19,9,26.44,12.5,37.5,-0.66,0.2,8,28.37,13.94,39.42,-0.84,0.21,8,21.15,9.62,34.62
Niue,NIU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.94,0.53,1,19.14,2.39,51.67,-0.98,0.49,1,18.66,2.39,46.89,-0.94,0.52,1,20.38,2.37,51.18,-0.91,0.56,1,21.33,2.37,52.61,-0.92,0.56,1,21.33,1.9,53.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,NLD,1.84,0.28,6,98.37,90.22,100,1.86,0.27,6,98.37,91.85,100,2.03,0.23,6,99.46,94.02,100,1.82,0.23,6,98.92,90.81,100,1.72,0.2,6,97.3,88.65,100,1.77,0.21,6,98.51,89.05,100,1.65,0.17,6,98.53,90.69,100,1.68,0.22,6,97.06,88.24,100,1.8,0.23,6,97.57,90.78,100,1.78,0.24,6,97.09,88.83,100,1.7,0.22,7,97.13,87.56,100,1.73,0.24,7,97.13,86.6,100,1.8,0.22,8,97.16,91.47,100,1.75,0.23,8,96.21,90.05,100,1.76,0.22,8,95.73,90.05,100,1.76,0.23,8,95.67,89.9,99.52,1.79,0.22,8,96.63,91.35,99.04,1.97,0.23,8,98.56,92.31,100,2.05,0.22,8,98.56,93.27,100,2.02,0.22,8,99.04,93.75,100,1.86,0.22,8,98.08,91.35,100,1.76,0.23,7,96.63,89.9,99.52,1.75,0.23,7,96.63,89.42,99.52
Norway,NOR,1.53,0.28,6,93.48,82.07,98.91,1.41,0.27,6,91.85,78.8,97.83,1.11,0.23,6,84.78,73.37,92.93,1.22,0.23,6,84.86,72.43,94.59,1.31,0.2,6,88.11,77.3,94.59,1.44,0.21,6,90.05,81.09,99.5,1.48,0.17,6,91.18,83.82,99.51,1.22,0.21,7,85.78,75.98,93.63,1.33,0.22,7,87.86,79.13,96.12,1.37,0.23,7,88.83,79.13,96.12,1.46,0.22,7,92.82,82.3,99.52,1.51,0.24,7,92.82,82.3,100,1.6,0.22,8,93.84,86.73,99.53,1.54,0.23,8,92.89,85.31,99.05,1.66,0.22,8,94.79,88.15,100,1.64,0.23,8,92.79,88.46,99.04,1.6,0.22,8,92.31,85.1,99.04,1.69,0.23,8,92.79,87.5,99.04,1.81,0.22,8,96.15,90.87,100,1.79,0.22,8,96.63,90.38,99.52,1.8,0.22,7,97.12,90.38,100,1.7,0.24,6,95.67,87.5,99.52,1.64,0.24,6,95.19,86.06,99.52
Nepal,NPL,-0.4,0.36,2,35.87,16.3,61.96,-0.45,0.39,2,30.98,14.67,59.24,-0.66,0.37,2,25.54,10.33,51.09,-0.59,0.28,3,30.81,14.05,50.27,-0.41,0.23,3,38.92,21.08,55.14,-0.52,0.22,5,31.34,19.4,48.26,-0.53,0.17,7,31.86,22.55,48.04,-0.52,0.21,7,32.35,20.1,50,-0.58,0.21,7,28.64,18.45,49.03,-0.65,0.19,7,28.16,17.96,44.66,-0.72,0.17,9,25.36,16.75,34.93,-0.76,0.16,9,23.92,16.27,33.01,-0.73,0.16,9,25.59,17.06,34.12,-0.81,0.17,10,23.7,12.8,32.7,-0.86,0.17,10,22.27,11.85,30.81,-0.85,0.19,10,22.12,9.62,32.21,-0.81,0.18,10,24.04,12.98,34.62,-0.77,0.19,10,23.56,11.54,34.13,-0.72,0.19,10,25.48,12.98,35.58,-0.75,0.19,10,24.52,12.02,36.06,-0.71,0.19,10,25,11.54,37.5,-0.7,0.21,9,26.44,11.54,38.94,-0.62,0.2,9,30.29,14.9,41.83
Nauru,NRU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.7,0.67,1,24.27,2.43,64.08,-0.87,0.5,1,19.9,2.43,52.91,-1.01,0.45,1,16.27,2.39,44.5,-1.05,0.44,1,15.79,2.39,40.19,-1.08,0.43,1,13.27,2.37,38.39,-1.19,0.45,1,10.9,1.42,34.6,-1.38,0.48,1,7.11,0.95,29.86,-1.24,0.74,1,8.65,0,50.48,-1.23,0.71,1,9.13,0,50.96,-0.39,1.05,1,38.94,0.96,88.46,-1.1,0.88,1,11.06,0,65.87,-0.14,1.07,1,46.63,2.88,92.31,-0.04,1.08,1,50.96,2.88,96.15,0.11,1.08,1,57.21,4.33,99.04,0.39,1.05,1,65.38,7.69,99.52
New Zealand,NZL,1.89,0.28,6,98.91,90.22,100,1.96,0.27,6,98.91,94.02,100,1.67,0.23,6,94.57,89.13,99.46,1.56,0.23,6,94.05,83.78,100,1.65,0.2,6,95.68,88.11,100,1.75,0.21,6,97.51,88.56,100,1.63,0.17,6,97.06,89.22,100,1.7,0.21,7,97.55,91.18,100,1.72,0.22,7,96.6,88.35,100,1.8,0.23,7,98.06,91.75,100,1.82,0.22,7,99.52,92.34,100,1.81,0.24,7,98.56,90.91,100,1.96,0.22,8,100,93.84,100,1.84,0.23,8,98.58,91,100,1.82,0.22,8,98.1,91,100,1.94,0.23,8,99.04,91.83,100,1.92,0.22,8,99.04,91.83,100,2.04,0.23,8,99.04,92.31,100,2.09,0.22,8,99.04,94.23,100,2.01,0.22,8,98.56,93.75,100,1.88,0.22,8,99.04,91.35,100,1.88,0.23,7,99.52,92.31,100,1.81,0.23,7,97.6,89.9,99.52
Oman,OMN,0.09,0.31,4,58.7,33.7,69.57,-0.05,0.33,4,52.17,27.17,65.22,0.06,0.31,4,56.52,31.52,67.93,0.68,0.25,5,69.73,61.62,82.7,0.67,0.22,4,69.19,62.16,78.92,0.65,0.23,4,70.15,62.19,79.1,0.55,0.17,5,65.69,59.8,72.55,0.6,0.21,5,67.65,57.84,77.94,0.61,0.22,6,68.93,58.74,79.13,0.7,0.22,6,71.36,61.65,81.55,0.53,0.2,7,68.42,57.89,75.12,0.44,0.2,7,65.07,54.55,75.12,0.32,0.2,7,61.61,52.61,73.46,0.47,0.23,7,66.82,54.5,75.36,0.47,0.22,7,67.3,54.98,75.36,0.69,0.23,7,72.6,63.46,81.25,0.57,0.22,7,69.71,60.58,78.85,0.61,0.23,7,71.15,62.98,81.25,0.42,0.23,6,68.27,56.25,75.96,0.17,0.23,6,62.02,45.67,70.67,0.29,0.22,7,63.94,49.04,73.56,0.46,0.24,6,66.35,55.29,75.96,0.33,0.25,5,63.46,49.52,73.08
Pakistan,PAK,-0.51,0.31,4,28.8,15.22,53.8,-0.65,0.33,4,25.54,13.04,49.46,-0.77,0.31,4,21.74,10.33,39.67,-0.88,0.23,5,21.08,9.73,36.22,-0.83,0.19,6,21.08,13.51,34.59,-1.05,0.2,7,15.42,6.97,22.39,-0.64,0.16,9,26.47,20.59,42.65,-0.48,0.19,10,34.8,21.57,50,-0.54,0.19,10,31.07,19.9,49.03,-0.6,0.17,10,29.61,19.42,44.66,-0.58,0.16,10,30.14,22.01,41.15,-0.61,0.16,10,29.67,19.62,39.71,-0.65,0.16,11,28.44,20.85,36.97,-0.72,0.17,11,26.07,17.06,35.55,-0.71,0.17,11,26.07,17.54,36.49,-0.69,0.19,11,27.88,16.35,37.98,-0.63,0.18,11,28.85,16.35,43.27,-0.65,0.19,11,27.4,16.35,40.38,-0.6,0.18,11,29.81,16.83,40.87,-0.64,0.18,11,28.85,14.9,37.98,-0.66,0.18,11,27.88,14.42,38.94,-0.73,0.2,10,25.96,11.54,37.02,-0.73,0.19,10,25.96,13.46,37.02
Panama,PAN,0.65,0.31,4,70.11,59.78,83.7,0.82,0.33,4,73.91,61.41,90.76,0.61,0.26,5,69.57,58.7,81.52,0.52,0.25,5,66.49,57.3,76.22,0.34,0.19,6,63.24,56.22,68.11,0.26,0.2,7,62.19,52.74,68.16,0.16,0.17,7,57.35,51.47,62.75,0.31,0.2,7,60.29,53.92,70.1,0.4,0.21,7,63.59,55.34,72.33,0.71,0.21,7,71.84,62.14,81.07,0.4,0.19,8,63.16,54.55,73.21,0.47,0.19,8,66.03,55.5,75.12,0.53,0.19,8,68.25,57.35,75.83,0.47,0.2,9,67.3,55.92,74.88,0.45,0.2,9,65.88,55.45,73.93,0.48,0.22,8,67.79,55.29,76.44,0.46,0.21,8,67.79,56.73,75.48,0.48,0.21,8,67.79,58.65,75.96,0.44,0.21,8,68.75,58.65,75.96,0.4,0.21,8,65.38,58.65,75.48,0.39,0.2,8,65.38,58.65,74.04,0.33,0.22,7,62.98,50,73.08,0.19,0.22,7,58.65,46.15,71.15
Palau,PLW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.7,0.5,1,26.21,3.4,55.34,-0.83,0.45,1,22.97,4.31,51.2,-0.87,0.44,1,20.1,3.35,47.37,-0.9,0.43,1,21.33,3.32,46.45,-0.99,0.45,1,17.54,2.37,42.65,-0.99,0.48,1,17.06,1.9,45.02,-0.82,0.74,1,25,1.92,65.38,-0.81,0.71,1,24.52,1.92,64.9,-0.18,1.05,1,47.12,2.4,91.83,-0.6,0.88,1,29.33,1.44,76.92,-0.06,1.07,1,50.48,2.88,93.75,-0.01,1.08,1,52.88,2.88,96.15,0.06,1.08,1,55.29,3.85,98.08,0.19,1.05,1,59.13,4.81,99.52
Peru,PER,0.49,0.29,5,65.76,54.89,77.17,0.57,0.3,5,69.02,54.89,84.78,0.33,0.26,5,64.67,51.09,76.09,-0.04,0.22,6,54.05,39.46,62.7,0.11,0.19,6,57.84,48.65,64.32,0.2,0.2,7,60.7,49.25,66.67,0.01,0.17,7,53.92,47.06,60.29,0.07,0.2,8,54.9,48.04,63.24,0.24,0.21,8,58.25,51.46,67.48,0.32,0.19,9,61.65,53.4,67.48,0.37,0.19,9,62.68,54.55,71.77,0.39,0.19,9,64.11,54.55,73.68,0.4,0.18,10,63.98,55.92,74.41,0.44,0.19,10,65.4,55.45,74.41,0.41,0.19,10,64.93,54.98,72.51,0.47,0.2,10,67.31,55.77,76.44,0.45,0.19,10,67.31,56.73,75,0.48,0.2,10,68.27,60.58,75.96,0.36,0.19,10,66.83,56.25,73.56,0.45,0.19,10,68.27,61.06,75.48,0.53,0.19,10,70.19,62.02,74.52,0.49,0.2,9,68.27,58.17,75,0.08,0.21,8,55.29,43.27,66.35
Philippines,PHL,0.02,0.28,6,54.89,32.07,65.22,0.24,0.27,6,61.41,42.93,70.65,0.02,0.23,6,55.98,34.78,65.22,-0.16,0.21,7,48.65,36.22,60.54,-0.11,0.18,7,52.97,39.46,58.92,-0.37,0.19,8,41.79,25.37,52.74,-0.22,0.16,8,49.02,36.27,54.41,-0.19,0.19,9,50,32.84,55.39,-0.13,0.2,9,50.97,35.44,57.77,-0.08,0.19,9,52.43,38.83,58.25,-0.11,0.19,9,50.24,35.89,57.42,-0.22,0.19,9,45.93,33.01,54.55,-0.16,0.18,10,48.82,34.6,55.92,0.04,0.19,10,54.03,42.65,63.03,0.02,0.19,10,53.55,42.65,62.56,0.08,0.2,10,54.81,45.67,65.38,0.07,0.19,10,54.33,44.71,65.87,0.12,0.2,10,58.65,45.67,66.83,0.14,0.19,10,60.1,45.19,69.71,0.04,0.19,10,56.73,42.31,64.42,0.11,0.19,10,61.06,45.19,66.35,0.13,0.2,9,58.17,43.75,66.35,0.08,0.19,9,54.81,43.75,65.87
Papua New Guinea,PNG,-0.43,0.31,4,33.15,17.39,58.15,-0.4,0.33,4,34.24,16.85,57.07,-0.33,0.31,4,35.87,19.02,58.7,-0.6,0.24,4,30.27,16.76,45.41,-0.64,0.2,4,25.95,18.38,44.86,-0.8,0.21,5,20.9,12.94,34.83,-0.99,0.17,7,17.65,9.8,24.51,-0.77,0.2,7,22.55,14.22,37.25,-0.61,0.2,7,27.18,18.45,47.09,-0.69,0.18,8,26.7,16.99,38.83,-0.58,0.17,8,30.62,22.01,43.06,-0.57,0.17,8,31.58,22.49,42.11,-0.53,0.17,8,33.18,23.22,42.65,-0.52,0.18,8,32.7,23.22,45.02,-0.52,0.19,8,33.18,23.22,45.02,-0.35,0.2,8,39.42,28.37,51.44,-0.56,0.2,8,32.21,19.71,45.19,-0.56,0.2,8,30.29,17.79,44.23,-0.66,0.2,8,28.37,14.9,39.9,-0.53,0.2,8,32.21,17.31,45.67,-0.54,0.2,8,32.21,17.31,44.23,-0.69,0.22,8,26.92,11.54,39.42,-0.83,0.21,8,21.63,9.62,34.62
Poland,POL,0.72,0.27,7,72.28,62.5,83.7,0.62,0.25,7,70.65,59.78,83.7,0.7,0.22,8,72.83,64.67,82.07,0.65,0.2,9,69.19,62.7,78.92,0.69,0.17,9,71.35,64.32,77.3,0.76,0.18,9,73.13,65.67,79.1,0.81,0.16,9,72.55,65.69,79.41,0.7,0.18,10,71.57,63.73,79.41,0.77,0.19,10,73.79,65.53,82.52,0.84,0.19,10,74.76,66.02,84.47,0.98,0.18,10,78.95,72.25,85.65,1.02,0.18,10,81.34,74.64,86.6,0.96,0.17,11,78.67,73.46,86.26,1,0.18,11,79.15,73.46,87.2,1.05,0.18,11,80.57,73.93,89.57,1.06,0.19,11,81.25,75,89.9,0.97,0.18,11,79.81,71.63,86.06,0.91,0.19,10,79.81,70.67,85.1,0.82,0.2,9,76.44,70.67,82.21,0.88,0.2,9,78.85,70.67,85.58,1.02,0.2,9,80.77,74.04,88.46,0.86,0.21,8,76.44,69.71,85.58,0.84,0.21,8,75.96,68.75,84.62
Puerto Rico,PRI,1.27,0.39,1,88.04,69.57,98.91,1.25,0.44,1,89.13,66.85,98.91,1.22,0.42,1,87.5,67.39,98.91,1.18,0.37,1,83.78,68.11,97.84,1.17,0.28,1,84.32,71.89,94.05,0.86,0.32,1,77.61,63.68,88.56,1.11,0.21,1,82.84,71.08,90.69,1.1,0.31,1,82.84,67.16,94.61,1,0.34,2,80.58,65.05,92.72,1.02,0.35,2,80.1,65.05,93.69,0.89,0.31,3,75.6,62.68,89.47,0.86,0.33,3,76.08,60.77,89.95,0.85,0.33,3,76.3,60.66,91,0.91,0.33,3,77.25,63.51,91,0.85,0.32,3,76.78,62.09,89.57,0.89,0.34,3,79.33,63.94,90.38,0.98,0.32,3,80.29,67.31,91.83,0.95,0.36,2,80.29,66.35,91.83,0.87,0.33,3,78.85,65.38,89.9,0.94,0.37,2,80.29,64.42,91.35,0.73,0.36,2,74.52,61.54,87.98,0.79,0.37,2,75,58.65,90.87,0.83,0.38,2,75,60.1,90.38
"Korea, Dem. Rep.",PRK,-2.28,0.35,3,0.54,0,3.8,-2.13,0.38,3,1.09,0,6.52,-2.15,0.36,3,1.09,0,6.52,-1.88,0.26,4,1.62,0,5.95,-2.07,0.21,4,0,0,2.16,-2.27,0.2,6,1,0,1.49,-2.28,0.17,6,0,0,1.47,-2.28,0.21,6,0.49,0,1.96,-2.28,0.24,5,0.49,0,2.43,-2.19,0.23,5,0.97,0,2.43,-2.39,0.2,6,0.48,0,1.91,-2.45,0.21,6,0,0,1.44,-2.45,0.21,6,0,0,0.95,-2.53,0.22,6,0,0,0.95,-2.52,0.22,6,0,0,0.95,-2.19,0.24,5,0,0,2.4,-2.33,0.23,6,0,0,1.92,-2.34,0.23,6,0,0,2.4,-2.34,0.22,6,0,0,1.92,-2.36,0.22,6,0.48,0,2.4,-2.4,0.22,6,0,0,1.92,-2.35,0.24,6,0,0,2.4,-2.33,0.25,5,0,0,2.88
Portugal,PRT,1.22,0.28,6,85.33,72.28,96.2,1.09,0.27,6,85.33,70.65,94.02,0.92,0.23,6,78.8,67.39,89.13,1.25,0.23,6,85.41,73.51,94.59,1.22,0.2,6,86.49,73.51,91.89,1.19,0.21,6,84.08,76.62,91.54,1.28,0.17,6,87.75,77.94,93.14,1.06,0.21,7,80.88,72.06,91.18,1.08,0.22,7,83.5,71.36,91.26,1.1,0.23,7,82.52,72.33,91.75,0.99,0.22,7,79.43,70.33,88.04,0.72,0.24,7,74.64,62.2,81.34,0.62,0.23,7,71.09,58.29,79.62,0.82,0.23,8,75.36,66.35,86.26,0.8,0.22,8,75.36,65.4,85.78,0.75,0.23,8,74.04,65.38,82.69,0.95,0.22,8,79.33,70.67,88.46,0.84,0.23,8,76.44,66.83,85.1,0.91,0.22,8,79.33,70.67,86.54,0.88,0.22,8,79.33,69.71,86.06,0.97,0.22,8,77.88,72.6,88.46,0.83,0.23,7,75.48,65.87,85.58,0.74,0.23,7,73.56,64.42,83.65
Paraguay,PRY,-0.49,0.31,4,29.35,15.76,54.89,-0.55,0.33,4,27.72,14.67,52.17,-0.72,0.26,5,22.28,13.04,39.13,-0.58,0.22,6,31.35,18.38,45.41,-0.76,0.19,6,22.16,15.14,37.84,-0.75,0.2,7,21.39,14.43,37.31,-0.86,0.17,7,21.08,12.25,29.41,-0.7,0.2,7,23.53,15.2,40.69,-0.58,0.21,7,28.16,18.45,48.06,-0.49,0.21,7,35.92,20.39,51.46,-0.41,0.19,8,36.84,24.88,51.2,-0.36,0.19,8,39.71,26.32,52.15,-0.33,0.19,8,40.28,28.44,52.61,-0.26,0.21,8,44.08,29.38,54.5,-0.25,0.21,8,45.02,29.86,54.98,-0.21,0.22,8,48.08,31.73,55.77,-0.19,0.21,8,46.63,32.69,58.65,-0.22,0.22,8,44.71,28.85,60.58,-0.23,0.21,8,44.23,30.29,59.13,-0.08,0.21,8,50,36.06,63.46,-0.12,0.21,8,48.08,34.62,62.02,-0.13,0.23,7,46.15,32.69,60.58,-0.21,0.22,7,45.19,31.73,57.69
Qatar,QAT,0.17,0.33,3,61.96,36.96,71.74,0.05,0.33,4,54.35,28.8,70.11,-0.02,0.31,4,52.72,28.26,65.22,0.27,0.25,5,61.62,50.27,69.19,0.19,0.22,4,60,49.73,65.95,0.16,0.23,4,59.7,47.26,67.16,0.26,0.18,5,59.8,52.94,65.69,0.31,0.22,6,59.8,52.94,70.1,0.4,0.22,6,64.08,54.85,72.33,0.65,0.22,6,69.9,59.71,79.61,0.68,0.19,8,72.25,62.2,79.43,0.6,0.2,8,69.86,60.29,78.47,0.5,0.2,7,66.82,55.92,75.83,0.8,0.21,8,74.88,65.4,84.83,0.74,0.21,8,73.46,64.45,81.99,0.57,0.22,8,69.71,60.58,79.33,0.67,0.21,8,72.12,64.9,80.29,0.69,0.22,8,73.08,65.38,82.21,0.42,0.21,8,67.79,56.73,75.96,0.6,0.21,8,72.12,62.98,80.29,0.68,0.21,8,74.04,64.42,81.25,0.85,0.23,7,75.96,67.31,86.06,0.86,0.22,7,77.4,68.27,85.58
Réunion,REU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2,0.32,1,85.07,70.15,96.02,1.11,0.21,1,82.84,71.08,90.69,1.1,0.31,1,82.84,67.16,94.61,1.13,0.37,1,84.47,66.99,96.6,1.15,0.38,1,84.47,66.02,96.6,1.15,0.41,1,83.73,65.07,99.52,1.14,0.46,1,83.25,63.64,100,1.12,0.46,1,83.41,62.09,98.58,1.08,0.5,1,81.52,59.72,99.05,1.08,0.5,1,81.99,61.14,99.05,1.23,0.51,1,87.98,65.38,99.52,1.28,0.46,1,87.98,67.79,99.04,1.24,0.49,1,86.06,66.83,98.56,1.21,0.47,1,85.58,68.27,98.08,1.19,0.49,1,85.58,65.38,98.08,1.23,0.49,1,86.06,66.35,99.52,0.94,0.52,1,79.81,56.73,96.63,0.96,0.49,1,81.25,57.69,96.63
